user_id	H	SD	SH	PD	type_player_numerical
2	0.6767	0.0100	0.0100	0.0100	0.6667
3	1.0100	1.0100	0.8100	1.0100	0.3334
4	1.0100	0.6767	0.3433	0.3433	0.3334
5	1.0100	0.2600	1.0100		
6	0.5100	0.0100	0.2100	0.5100	1.0001
7	0.5100	0.0100	0.0100	0.0100	0.6667
8	1.0100	0.3433	0.6767	0.5100	0.3334
9	0.7600	0.2600	0.0100	0.0100	0.6667
10	1.0100	0.2600	0.5100	0.0100	0.0001
11	0.7600	0.2100	0.0100	1.0100	1.0001
18	0.6100		0.3433		
19	1.0100	0.5100	1.0100	0.2600	0.3334
20	1.0100	0.5100	0.6767	0.5100	0.3334
22		0.0100	0.0100	0.0100	
23	1.0100	0.5100	1.0100	0.2600	0.3334
24	1.0100	0.5100	0.2600	0.0100	0.0001
25	1.0100	0.5100	1.0100	0.2600	0.3334
26	0.5100	0.0100	0.0100		
27	0.6767	0.0100	1.0100	0.5100	1.0001
28	1.0100	0.8671	1.0100	1.0100	0.3334
29	1.0100	0.2600	0.7600	0.5100	0.3334
30	0.6767	0.0100	0.0100	0.5100	1.0001
31	1.0100	1.0100	0.3433	0.0100	0.0001
32	1.0100	1.0100	1.0100	0.5100	0.3334
33	1.0100	1.0100	0.6767	0.0100	0.0001
34	1.0100	0.5100	0.6767	0.0100	0.0001
35	1.0100	0.8100	0.3433	0.2600	0.3334
37	1.0100	0.6100	0.0100	0.4100	0.3334
38	0.5100	0.5100	0.0100	0.0100	0.6667
40	1.0100	0.5100	0.2100	0.3433	0.3334
41	0.8100	0.5100	0.5100	0.0100	0.6667
42	0.6767	0.5100	0.0100	0.2600	1.0001
43	0.7243	0.0100	0.5100	0.0100	0.6667
45	1.0100	0.6767	0.8100	0.6767	0.3334
47	1.0100	0.5100	0.7600	0.0100	0.0001
48	1.0100	1.0100	0.5100	0.0100	0.0001
49	0.5100	1.0100	0.6767	0.5100	1.0001
51	1.0100	0.6767	0.7600	0.5100	0.3334
52	1.0100	0.2600	0.6767	1.0100	0.3334
53	1.0100	1.0100	0.0100	0.3433	0.3334
54	0.7600	0.0100	0.1767	0.0100	0.6667
55	0.8433		0.2100	0.0100	0.6667
56	0.7600	1.0100	0.0100	0.0100	0.6667
57	1.0100	0.0100	0.8100	0.2600	0.3334
58	1.0100	0.0100	0.4100	1.0100	0.3334
59	1.0100		0.0100	0.4386	0.3334
60	1.0100	0.0100	0.8671	0.5100	0.3334
61	0.6767	1.0100	0.4100	1.0100	1.0001
62	1.0100	0.0100	0.3433	0.0100	0.0001
63	1.0100	0.5100	0.5100	0.0100	0.0001
64		0.7600	0.6100	0.3433	
65	0.6767		0.2100	0.5100	1.0001
66	0.0100	1.0100	1.0100	0.4100	1.0001
67	0.5100	1.0100	1.0100	1.0100	1.0001
68		0.6100	1.0100	0.6767	
69	1.0100	0.0100	0.0100	0.0100	0.0001
70	1.0100		0.7243	1.0100	0.3334
71	0.8100	0.4100	0.0100	0.0100	0.6667
72	0.6767	0.0100	1.0100	1.0100	1.0001
73	0.3433	1.0100	1.0100	0.8100	1.0001
74	1.0100	0.0100	0.0100	0.0100	0.0001
75	0.5100	1.0100	0.6767	0.3433	1.0001
76	0.6767	1.0100	1.0100	0.4100	1.0001
77	1.0100	0.0100	0.0100	0.0100	0.0001
78	0.8850	0.0100	0.0100	0.0100	0.6667
79	1.0100	0.0100	0.0100	0.0100	0.0001
80	1.0100	0.5100	0.7600	0.0100	0.0001
81	1.0100	0.0100	0.6767	0.6100	0.3334
82	0.0100	0.0100	0.2100	0.5100	1.0001
83	0.7600	1.0100	0.6767	1.0100	1.0001
84	1.0100	0.0100	0.2100	0.5100	0.3334
85	1.0100	0.0100	0.0100	0.0100	0.0001
86	0.6100	0.2600	0.2100	0.3433	1.0001
87	0.6767	0.2600	0.0100	0.3433	1.0001
88	0.6767	0.2600	0.5100	0.3433	1.0001
89	1.0100	0.5100	1.0100	1.0100	0.3334
90	1.0100	1.0100	1.0100	1.0100	0.3334
91	1.0100	0.0100	0.0100	0.0100	0.0001
92	1.0100	0.0100	0.6100	0.2600	0.3334
93	0.8100	0.0100	0.0100	0.0100	0.6667
95	0.7600	0.5100	1.0100	0.3433	1.0001
96	1.0100	0.2957	0.5100	0.2600	0.3334
97	1.0100	0.3433	0.6767	0.5100	0.3334
98	0.5100	0.2100	0.0100	0.2100	1.0001
99	0.5100	0.6767	1.0100	0.2100	1.0001
100	0.6767	0.0100	0.0100	0.0100	0.6667
101	1.0100	0.6767	0.2600	0.3433	0.3334
102	1.0100	0.0100	0.4100	0.3850	0.3334
103	1.0100	0.0100	0.2100	0.0100	0.0001
104	1.0100	0.2600	0.0100	0.0100	0.0001
105	1.0100	0.2600	0.2600	0.2100	0.3334
106	1.0100	0.6767	0.2600	0.2957	0.3334
107	0.0100	0.3433	0.3433	0.3433	1.0001
108	0.7600	0.4100	1.0100	0.3433	1.0001
109	0.6767	0.6767	0.4100	0.0100	0.6667
110	1.0100	0.2600	0.0100		
111	0.5100	0.7600	1.0100	0.1767	1.0001
112	1.0100	0.0100	0.5100	0.5100	0.3334
113	1.0100		0.2957	0.3433	0.3334
114	1.0100	0.0100	0.3433	0.8433	0.3334
115	1.0100	0.0100	0.2600	0.0100	0.0001
116	0.5100	0.3433	0.6100	0.0100	0.6667
117	1.0100	0.4100	1.0100	0.3433	0.3334
118	0.6100	0.3433	0.7600	0.0100	0.6667
119	1.0100	0.5100	1.0100	0.5100	0.3334
120	1.0100	0.0100	0.1350	0.0100	0.0001
121	1.0100	0.0100	0.2100	0.0100	0.0001
122	0.6100	0.0100	0.5100	0.0100	0.6667
123	0.8100	1.0100	0.7600	0.4100	1.0001
124	1.0100	0.0100	0.4100	0.6767	0.3334
125	1.0100	0.3433	0.8100	0.2600	0.3334
126	1.0100	0.8100	1.0100	0.0100	0.0001
127	0.7600	1.0100	1.0100	0.6767	1.0001
128	0.0100	0.6100	0.5100	0.4100	1.0001
129	0.5100	0.0100	0.5100	1.0100	1.0001
130	1.0100	0.4100		0.5100	0.3334
131	1.0100	0.7600	1.0100	0.5100	0.3334
132	0.5100	0.0100	0.0100		
133		0.5100	1.0100	0.8100	
134	1.0100	0.3433		0.0100	0.0001
135	0.0100	0.2600	0.0100	0.0100	0.6667
136	0.4100	0.5100	0.0100	0.0100	0.6667
137	0.8100	0.6767	1.0100	0.0100	0.6667
138	0.7243	0.0100	0.0100	0.0100	0.6667
139	0.8433	0.0100	0.0100	0.0100	0.6667
140	0.5100	0.2600	0.2100	0.0100	0.6667
141		0.2600	0.2100	0.0100	
142			0.3433	0.1529	
143	0.7600	0.6100	1.0100	0.5100	1.0001
144	0.8433	0.3433	0.0100	0.0100	0.6667
145				0.2100	
146	1.0100	1.0100	0.7600	0.3433	0.3334
147		0.6767	0.3433	0.8100	
148	1.0100	1.0100	0.5100	0.4100	0.3334
149	0.5100	0.0100	0.1767	0.1767	1.0001
150	1.0100	0.5100	0.5100	0.7600	0.3334
151	0.0100	0.5100	0.6767	0.5100	1.0001
152	1.0100	0.0100	0.0100	0.0100	0.0001
153	0.5100	1.0100	0.2600	0.2600	1.0001
154	1.0100	0.5100	0.0100	0.0100	0.0001
155	0.8433	0.0100	1.0100	0.0100	0.6667
156	0.5100	0.0100	0.0100	0.2100	1.0001
157	1.0100	0.5100	0.5100	0.3433	0.3334
158	1.0100	0.0100	0.0100	0.0100	0.0001
159	0.1767	0.5100	0.6767	0.2100	1.0001
160	0.8433	0.6767	1.0100	1.0100	1.0001
161	1.0100	0.5100	0.0100	0.3850	0.3334
162		0.6767	0.8100	1.0100	
163	1.0100	0.6100	0.5100	0.4386	0.3334
164	1.0100	0.5100	0.4100	0.0100	0.0001
165	0.6350	0.0100	0.0100	1.0100	1.0001
166	1.0100	0.5100	0.6767	0.0100	0.0001
168		0.0100		0.0100	
169	0.5100	0.5100	0.7600	0.5100	1.0001
170	0.8671	0.0100	1.0100	0.0100	0.6667
171	0.5100	0.4544	0.0100	0.0100	0.6667
172	0.6767	0.2100	0.6767	0.0100	0.6667
173	0.2600	0.0100	0.3433	0.5100	1.0001
174	0.7600	0.3433	0.3433	0.0100	0.6667
175	0.8100	0.2600	1.0100		
176	1.0100	0.6767	1.0100	0.2600	0.3334
177	0.7600	0.4100	0.6767	0.3433	1.0001
178	1.0100	0.0100	1.0100	0.1767	0.3334
179	0.5100	0.0100	0.0100	0.0100	0.6667
180	1.0100	1.0100	0.0100	0.0100	0.0001
181	0.6767	0.1767	0.3433	0.3433	1.0001
186	1.0100	1.0100	1.0100	0.3433	0.3334
187	0.5100	0.3433	0.2600	0.0100	0.6667
188	1.0100	0.5100	1.0100	0.6767	0.3334
190	1.0100	0.4100	0.0100	0.0100	0.0001
191	1.0100	0.6767	0.5100	0.5100	0.3334
192	1.0100		1.0100	0.7243	0.3334
193	1.0100	1.0100	1.0100	0.2100	0.3334
194	1.0100	1.0100	0.0100		
195	1.0100	0.0100	1.0100	0.8671	0.3334
196	1.0100	1.0100	1.0100	1.0100	0.3334
197	1.0100	0.6767	0.7600	0.2600	0.3334
198	1.0100	1.0100	0.6100	0.0100	0.0001
199	1.0100	1.0100	1.0100	0.5100	0.3334
200	1.0100	1.0100	1.0100	1.0100	0.3334
201	1.0100	0.6100	1.0100	0.0100	0.0001
202	1.0100	0.0100	0.4100	0.2600	0.3334
203	1.0100	0.5100	0.0100	0.0100	0.0001
204	1.0100	0.6767	0.5100	0.0100	0.0001
205	1.0100	1.0100	0.0100	0.0100	0.0001
206		0.0100	0.4100	0.0100	
207	1.0100	0.5100	1.0100	0.0100	0.0001
208	1.0100	0.6767	1.0100	0.5100	0.3334
209	1.0100	1.0100	0.2600	0.0100	0.0001
210	1.0100	0.3433	0.2600	0.0100	0.0001
211	1.0100	0.3433	0.6100	0.0100	0.0001
212	1.0100	0.8433	1.0100	1.0100	0.3334
213	1.0100	1.0100	0.8100	1.0100	0.3334
214	1.0100	0.6100	0.4100	0.0100	0.0001
215	0.7600	0.0100	0.3433	0.0100	0.6667
216	1.0100	1.0100	0.6767	0.3433	0.3334
217	0.7600	0.5100	0.5100	0.0100	0.6667
